F0087|Bibimbap|A Korean dish featuring rice topped with sautéed vegetables, gochujang sauce, and an egg|10.75
F0021|Baklava|A rich and sweet Middle Eastern pastry made with layers of phyllo dough, nuts, and honey syrup|4.25
F0057|Chicken Fajitas|Grilled chicken strips served with sautéed peppers and onions, tortillas, and toppings|15.75
F0018|Poke Bowl|A Hawaiian dish featuring cubed raw fish, rice, vegetables, and various toppings|12.50
F0074|Huevos Rancheros|A Mexican dish featuring fried eggs served on corn tortillas with salsa, beans, and cheese|10.99
F0023|Nachos|Tortilla chips loaded with melted cheese, salsa, guacamole, and various toppings|8.75
F0051|Empanadas|Flaky pastries filled with savory ingredients like meat, cheese, or vegetables|4.50
F0004|Pasta Carbonara|Spaghetti tossed with eggs, pancetta, parmesan cheese, and black pepper|15.25
F0038|Tiramisu|A classic Italian dessert featuring layers of ladyfingers, espresso, and mascarpone cheese|7.99
F0052|Crème Brûlée|A rich and creamy custard with a crisp, caramelized sugar topping|7.75
F0079|Flan|A rich and creamy Spanish custard dessert with a caramelized sugar topping|6.75
F0070|Coq au Vin|A classic French dish featuring chicken braised in red wine with mushrooms and bacon|18.75
F0095|Gazpacho|A chilled Spanish soup made with tomatoes, vegetables, olive oil, and vinegar|7.50
F0044|Chicken Parmesan|Breaded and fried chicken breast topped with tomato sauce and melted mozzarella|16.75
F0007|Pad Thai|A Thai stir-fried rice noodle dish with shrimp, eggs, bean sprouts, and peanuts|13.95
F0039|Chicken Pad Thai|A Thai stir-fried rice noodle dish with chicken, eggs, bean sprouts, and peanuts|12.50
F0072|Lamb Kofta|Spiced ground lamb patties or kebabs, often served with pita bread and tzatziki sauce|14.25
F0047|Ceviche|A refreshing Latin American dish featuring raw fish or seafood cured in citrus juice|11.99
F0034|Beef Stew|A hearty and comforting dish made with tender beef, vegetables, and a rich broth|14.50
F0013|Dumplings|Small pockets of dough filled with meat or vegetables, often steamed or pan-fried|8.50
F0085|Fish and Chips|A British staple featuring battered and fried fish served with french fries|12.25
F0031|Spanakopita|A savory Greek pastry filled with spinach and feta cheese|6.50
F0016|Pancakes|Fluffy, griddle-cooked breakfast cakes served with syrup, butter, and various toppings|8.50
F0043|Panna Cotta|A creamy and silky Italian dessert made from sweetened cream and milk|6.50
F0058|Donuts|Fried dough rings with a variety of coatings and fillings, often glazed or frosted|2.50
F0046|Mushroom Risotto|A creamy and earthy risotto dish made with a variety of mushrooms|15.50
F0002|Pizza|A savory dish with a flat bread base topped with tomato sauce and various toppings|12.99
F0042|Samosas|Crispy, fried pastries filled with spiced potatoes, peas, and other savory fillings|5.75
F0032|Poutine|A Canadian dish consisting of french fries topped with cheese curds and brown gravy|7.75
F0022|Pho|A Vietnamese noodle soup featuring rice noodles, herbs, and a flavorful broth|11.50
F0035|Cheesecake|A smooth, creamy dessert with a crunchy graham cracker crust|35.62
F0049|Banana Bread|A moist and flavorful quick bread made with ripe bananas and often nuts or chocolate chips|3.25
F0024|Risotto|A creamy and indulgent Italian dish made with Arborio rice, broth, and various additions|17.99
F0012|Lasagna|Layers of pasta, ground meat, cheese, and tomato sauce baked to perfection|17.99
